ffe_len,train_frac,ber_pam4,ber_m8
7,0.3,0.21346890406712202,0.16253654276294954
7,0.5,0.21394641839255177,0.16253654276294954
7,0.8,0.21269138074142224,0.1626248787463624
7,1.0,0.212998889966699,0.1626548796463894
9,0.3,0.21370604824192968,0.1622798245263144
9,0.5,0.21295101804072164,0.1624931663933224
9,0.8,0.2127085083403336,0.1623698281264584
9,1.0,0.2127535101404056,0.16229315839300237
11,0.3,0.21297564878243913,0.16243145490607863
11,0.5,0.21321566078303916,0.16219810990549527
11,0.8,0.21271063553177658,0.16233478340583696
11,1.0,0.21304565228261413,0.1623481174058703
13,0.3,0.21321529291757504,0.16215972958377503
13,0.5,0.21281776906614397,0.16267142695228382
13,0.8,0.212940276416585,0.16233640685107772
13,1.0,0.212865271916315,0.16239807721796642
