n_sym,n_ref,n_data,theta_std_deg,ebn0_db,ber_noPLL,ber_DDonly,ber_DD_pRef
200000,1,1,1.0,12.0,0.471875,0.000715,0.0006166666666666666
200000,1,1,1.0,14.0,0.5366633333333334,5.1666666666666664e-05,4.1666666666666665e-05
200000,1,1,1.0,16.0,0.4904116666666667,0.0,0.0
200000,1,1,3.0,12.0,0.49810166666666666,0.4646633333333333,0.036456666666666665
200000,1,1,3.0,14.0,0.5022766666666667,0.5001316666666666,0.03002
200000,1,1,3.0,16.0,0.5185083333333333,0.47197,0.025325
200000,1,1,5.0,12.0,0.5013,0.51097,0.14570333333333332
200000,1,1,5.0,14.0,0.497835,0.49917333333333336,0.14032333333333333
200000,1,1,5.0,16.0,0.50634,0.4964166666666667,0.13825833333333334
200000,2,1,1.0,12.0,0.494985,0.0006933333333333333,0.0005633333333333333
200000,2,1,1.0,14.0,0.5199083333333333,7.5e-05,6e-05
200000,2,1,1.0,16.0,0.5303416666666667,5e-06,5e-06
200000,2,1,3.0,12.0,0.49057666666666666,0.525215,0.038715
200000,2,1,3.0,14.0,0.494415,0.491195,0.034195
200000,2,1,3.0,16.0,0.50112,0.50148,0.02348
200000,2,1,5.0,12.0,0.4958166666666667,0.49781333333333333,0.14648
200000,2,1,5.0,14.0,0.49771166666666666,0.4930583333333333,0.13865333333333332
200000,2,1,5.0,16.0,0.49547833333333335,0.5073133333333333,0.13748666666666667
200000,8,56,1.0,12.0,0.5112201785714285,0.0005414285714285714,0.0005308630952380952
200000,8,56,1.0,14.0,0.478040625,5.011904761904762e-05,4.958333333333333e-05
200000,8,56,1.0,16.0,0.4767675892857143,2.7380952380952382e-06,2.5e-06
200000,8,56,3.0,12.0,0.4988664583333333,0.49408386904761903,0.038931875
200000,8,56,3.0,14.0,0.4930324702380952,0.4908658928571429,0.02967342261904762
200000,8,56,3.0,16.0,0.49456348214285717,0.5265224702380953,0.026116666666666667
200000,8,56,5.0,12.0,0.49589136904761905,0.49767550595238097,0.1509315773809524
200000,8,56,5.0,14.0,0.4984438095238095,0.49502416666666665,0.13852270833333333
200000,8,56,5.0,16.0,0.502089494047619,0.5141122916666667,0.1379698511904762
